pre_application_distribution,planning_level,public_works_level,fire_level,special_zoning_level,agency_referral_level,n_runs_proxy,seed,completed_permits,mean_total_days,mean_application_to_ready_days,planning_to_ready_n,debris_blocking_wait_count,debris_blocking_wait_share,debris_blocking_wait_mean_days,debris_blocking_wait_median_days,debris_blocking_wait_max_days,median_total_days,std_total_days,min_total_days,max_total_days,mean_wait_days,mean_service_days,county_review_mean,applicant_mean,debris_mean,step_wait_mean__epa_debris,step_service_mean__epa_debris,step_wait_mean__usace_debris,step_service_mean__usace_debris,step_wait_mean__pre_application_activities,step_service_mean__pre_application_activities,step_wait_mean__applicant_revisions,step_service_mean__applicant_revisions,step_wait_mean__planning,step_service_mean__planning,step_wait_mean__agency_referral,step_service_mean__agency_referral,step_wait_mean__special_zoning,step_service_mean__special_zoning,step_wait_mean__public_works,step_service_mean__public_works,step_wait_mean__fire_review,step_service_mean__fire_review
poisson_10,0.5,1.0,1.5,0.5,0.5,4.5,46.5,1200.0,100.32309976989185,90.3216831032252,1200.0,10.1,0.008416666666666666,7.164668931062752,5.688162961324563,18.372873811609455,96.50628267614759,30.8511738350114,24.14508617792378,301.5352990394232,20.029145755818973,105.32305903419908,36.956340884934676,73.53390732641142,14.861956578671956,3.167904901391538,1.0039348428010038,8.190700167812746,2.4994166666666664,0.0,10.001416666666668,0.0,63.53249065974476,5.332963064152944,3.401480519242793,0.0,3.7757367243680937,0.0,5.771978614600644,0.0,8.3189885939483,3.337577622461749,7.017615746160152
poisson_10,0.5,0.5,1.0,1.0,0.5,4.5,46.5,1200.0,100.98560548817281,90.98418882150614,1200.0,16.4,0.013666666666666666,7.7704827319127645,6.133537867672693,22.41312494720393,92.8359996357005,40.424716324298046,19.842054186236272,446.7546470144237,16.656392297237403,104.48010289114481,32.50112363151946,73.7988664465129,14.83650511034985,3.1672632857202094,1.0034626493294905,8.170945841966816,2.4948333333333332,0.0,10.001416666666668,0.0,63.797449779846225,5.314602363170637,3.3920533706744296,0.0,3.771690240888435,0.0,11.24618206036288,0.0,4.1617288107010815,0.003580806379739337,4.611285979342261
poisson_10,0.5,1.5,0.5,0.5,0.5,4.5,46.5,1200.0,101.0624835809742,91.06106691430755,1200.0,9.6,0.008,8.365108041352979,6.76668743446573,22.667528286231697,96.94743977188865,30.794960916299992,22.15758357863692,289.94751267867275,16.713070826833917,104.67591502908328,33.004665952279,73.51435667880091,14.869963224837301,3.1819323863315887,1.0086732533609255,8.180524251811459,2.4988333333333332,0.0,10.001416666666668,0.0,63.51294001213422,5.320576879435039,3.4023180371864385,0.0,3.867292602992316,0.0,5.586059534727565,0.030037309255834414,12.46859872961074,0.0,2.3297828590710674
poisson_10,0.5,0.5,0.5,1.0,1.0,4.5,46.5,1200.0,101.44068627917554,91.43926961250887,1200.0,19.6,0.01633333333333333,8.189975305761811,6.480981864719541,25.74167524924399,91.45549272132187,44.700563595238904,17.843013342371684,475.7060595940353,16.68192828501772,106.0648031294384,34.242046030953354,73.641023314477,14.863662069025773,3.1793935670082503,1.0075473498689025,8.176304485481957,2.5004166666666667,0.0,10.001416666666668,0.0,63.63960664781035,5.326230232527514,3.395720618145181,0.0,7.554562054569463,0.0,11.48028384264669,0.0,4.16464000663967,0.0,2.3206092764248374
poisson_10,0.5,0.5,1.5,0.5,1.5,4.5,46.5,1200.0,101.84108672792914,91.83967006126247,1200.0,13.9,0.011583333333333334,8.568649291550216,7.462887795579296,22.546182728557334,94.45910281861667,40.14330035238204,18.656408806777275,444.1928336547477,20.748873953355492,109.0478548634371,41.12031338488606,73.82992858853319,14.846486843373356,3.1627325960955313,1.0026060477305792,8.18648153288058,2.4946666666666664,0.0,10.001416666666668,0.0,63.82851192186653,5.334448588196768,3.404818909460542,0.0,11.29323832068879,0.0,5.8632762996492165,0.0,4.162570798664994,4.065211236182611,6.996749232043136
poisson_10,0.5,1.0,0.5,0.5,1.5,4.5,46.5,1200.0,101.87954135915886,91.87812469249221,1200.0,10.3,0.008583333333333333,7.688633832941475,5.526819140194244,23.18806865621253,94.31798249238048,39.54791760268559,20.50110281921647,435.36476266819216,16.668853098806984,107.68168742589799,36.092046811396585,73.40779268510435,14.850701028204018,3.1800243456341097,1.0070831198364165,8.16742689606682,2.4961666666666664,0.0,10.001416666666668,0.0,63.40637601843771,5.32140185710605,3.4025529633844775,0.0,11.056083247539316,0.0,5.660221726744366,0.0,8.33061606204007,0.0,2.3211709545823025
poisson_10,0.5,1.5,1.0,0.5,0.5,4.5,46.5,1200.0,101.93350755556091,91.93209088889424,1200.0,8.1,0.006750000000000001,6.20139088418181,4.6561068043278535,16.95228947042599,98.25977218203333,30.945095211059616,25.403610731019665,301.7372340615997,16.734669614800993,107.09813879836784,35.48086589324699,73.47507634823886,14.87686617168298,3.1826723988605172,1.0096229410702207,8.183070831752241,2.5015,0.0,10.001416666666668,0.0,63.47365968157224,5.3369785866733,3.402740636660609,0.0,3.813491458931064,0.0,5.714597421107898,0.028078380467013164,12.477914537838618,0.0038694170479188265,4.703195454520577
poisson_10,0.5,1.0,1.5,0.5,1.0,4.5,46.5,1200.0,102.25794827909638,92.25653161242971,1200.0,10.0,0.008333333333333333,7.202413843007127,5.706900187267624,18.372873811609455,97.21530011196293,33.990221492658655,24.14508617792378,353.4831777588959,20.029145755818973,109.09879575856716,40.73207760930276,73.53390732641142,14.861956578671956,3.1679049013915384,1.0039348428010038,8.190700167812746,2.4994166666666664,0.0,10.001416666666668,0.0,63.532490659744745,5.332963064152944,3.4014805192427935,0.0,7.5514734487361865,0.0,5.771978614600644,0.0,8.3189885939483,3.337577622461749,7.017615746160153
poisson_10,0.5,0.5,1.5,1.0,0.5,4.5,46.5,1200.0,102.75480011382815,92.7533834471615,1200.0,14.6,0.012166666666666668,7.813772102498909,6.914679854163781,22.80132297030535,94.81450892844713,41.279824499631985,17.16289883743283,472.18249202924187,19.238002094890565,106.94244852843697,37.66813262125454,73.66417429804878,14.848143704024206,3.1650553405382023,1.0025729929485032,8.184932037204172,2.4955833333333333,0.0,10.001416666666668,0.0,63.6627576313821,5.331168748043227,3.400897201306217,0.0,3.7877581071788606,0.0,11.387198353134995,0.0,4.148264773706633,2.5568459691049634,7.0559994687796435
poisson_10,0.5,1.0,0.5,1.0,0.5,4.5,46.5,1200.0,102.84573399431981,92.84431732765314,1200.0,11.0,0.009166666666666667,8.566691361262643,7.328142853407213,23.197738839804057,94.93839951290451,40.9284390861645,19.24792420409573,495.59187562285626,16.688493760130264,106.14185824314536,34.48999721308852,73.47472695652819,14.865627833658928,3.1759345323993657,1.0039249606985732,8.186851673894324,2.4989166666666667,0.0,10.001416666666668,0.0,63.473310289861544,5.325707553836577,3.4065836661180624,0.0,3.7726969250263673,0.0,11.347313874601276,0.0,8.322331251689164,0.0,2.315363941817073
