LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
328093,501590,FALSE,23,108,591
245415,107279,FALSE,39,531,1603
207487,367871,FALSE,44,344,989
175709,239165,TRUE,80,556,1095
32332,140915,TRUE,44,329,884
300000,446955,TRUE,55,143,616
177269,273299,TRUE,55,342,784
169882,485583,FALSE,38,220,769
398295,543136,TRUE,66,388,996
195961,347365,TRUE,193,428,640
48121,182857,TRUE,208,399,856
246000,131090,FALSE,193,325,1126
320000,459158,FALSE,188,122,1353
306000,867000,FALSE,234,191,884
212857,462218,FALSE,249,533,883
173027,338541,FALSE,254,469,804
298864,793536,FALSE,257,412,694
188075,288739,TRUE,265,566,-1
207127,386651,TRUE,259,176,629
173361,132625,TRUE,253,388,1135
160167,280500,FALSE,251,402,1480
187125,385482,FALSE,248,570,881
272957,627821,TRUE,241,309,595
165502,398733,TRUE,241,393,1112
279971,493541,FALSE,246,167,610
306000,721140,FALSE,253,597,1073
391374,729932,FALSE,254,247,640
160086,515084,TRUE,261,545,932
224099,397983,FALSE,247,356,714
135411,306190,TRUE,239,385,673
241000,63000,FALSE,193,350,1240
156766,77600,TRUE,206,318,1240
408000,902700,FALSE,111,527,1000
258120,199814,TRUE,14,674,1109
317665,620554,FALSE,104,218,693
241152,155947,FALSE,22,442,1114
415511,27340,FALSE,34,814,-1
298656,761416,TRUE,2,351,1315
408134,1179236,FALSE,2,282,1001
530000,33000,FALSE,3,686,-1
408416,80289,TRUE,3,555,1200
117504,107398,FALSE,3,178,-1
332160,185667,TRUE,2,413,1073
491984,596072,FALSE,9,630,-1
79975,20174,FALSE,4,231,-1
230545,76845,TRUE,7,237,1477
1227069,1617501,FALSE,8,146,647
874918,1579531,FALSE,8,659,1164
42036,447275,TRUE,9,377,980
25851,5819,TRUE,10,224,-1
346660,446061,FALSE,10,233,966
74803,411254,TRUE,9,449,950
101421,234989,TRUE,7,255,-1
2470033,477770,FALSE,8,202,819
115498,261486,TRUE,22,657,1080
11494,318301,TRUE,19,294,1080
590567,1096172,FALSE,21,295,776
515101,998131,TRUE,20,188,736
613534,781517,FALSE,20,185,-1
398295,54529,FALSE,21,255,-1
28299,179440,TRUE,24,239,610
245413,385930,TRUE,25,372,980
354986,631331,TRUE,25,450,1007
56591,300082,TRUE,24,213,647
113390,244491,TRUE,24,189,-1
524949,969034,FALSE,24,260,713
385992,578988,FALSE,22,955,986
1182162,1501362,FALSE,7,183,587
601863,111345,FALSE,11,423,1373
1122000,204000,FALSE,7,1575,-1
561088,86700,TRUE,7,265,1190
601800,20400,FALSE,25,1338,-1
693091,1040657,FALSE,24,485,939
489583,620678,TRUE,24,233,708
196317,291299,FALSE,25,346,1130
271634,603920,FALSE,24,421,1004
43523,152390,TRUE,25,344,483
69680,217087,TRUE,10,269,771
102568,291444,TRUE,10,342,923
40743,139928,TRUE,23,524,724
39952,209153,TRUE,23,416,1025
478244,285668,FALSE,25,353,1158
736855,15458,FALSE,22,1142,-1
133341,10055,FALSE,11,423,-1
1066303,888696,TRUE,17,325,965
117132,176474,FALSE,9,967,1290
216438,875186,FALSE,22,254,982
2455554,626862,FALSE,2,199,1206
162894,338485,FALSE,3,325,868
1004589,8234,FALSE,1,497,-1
367911,27824,FALSE,3,751,1773
50954,121251,FALSE,3,621,1099
656986,52558,FALSE,3,358,1478
653004,1218958,TRUE,3,720,1127
2517181,175053,FALSE,3,769,1206
218468,187214,TRUE,21,469,1093
404436,219601,TRUE,20,143,1262
1261607,1050374,FALSE,20,680,1365
275961,836353,TRUE,14,66,763
1270695,476764,FALSE,26,735,-1
694378,893074,TRUE,17,248,777
376569,150000,TRUE,16,122,-1
1044358,1355890,FALSE,23,126,888
679515,489133,TRUE,19,195,647
390429,828293,FALSE,19,287,1014
535910,567635,TRUE,19,583,1116
414922,626979,TRUE,19,520,1399
20387,123835,TRUE,20,456,1017
543273,533704,TRUE,20,468,736
656753,632028,TRUE,20,157,862
523151,818055,FALSE,20,293,1080
20795,58211,TRUE,20,287,1036
21919,259894,TRUE,20,259,701
417634,564540,TRUE,19,276,870
42631,214236,FALSE,20,318,591
84019,718467,TRUE,20,331,1060
417634,525734,TRUE,19,188,559
440640,15300,FALSE,4,1176,1751
755266,632491,FALSE,3,1343,-1
267969,240567,FALSE,9,107,856
421912,544834,FALSE,4,255,804
995000,700000,FALSE,23,202,1365
1632000,1428000,FALSE,28,626,1025
33291,34641,TRUE,24,274,-1
1187957,1377335,TRUE,23,223,730
144828,225038,FALSE,1,559,819
1193086,215491,FALSE,2,694,1408
219374,124151,FALSE,2,251,-1
234565,424301,FALSE,28,374,973
265200,10200,FALSE,28,653,-1
346064,137190,FALSE,1,276,1169
331406,557907,FALSE,29,273,-1
290700,523260,TRUE,30,356,887
150848,384829,FALSE,30,210,972
413404,580705,TRUE,30,367,748
120361,327463,FALSE,28,183,1116
9227,151592,FALSE,28,433,622
22624,100594,TRUE,29,642,1078
29162,175045,TRUE,30,437,965
22625,82165,TRUE,30,283,773
20097,60325,FALSE,28,405,637
404686,285356,TRUE,30,479,878
328372,420156,TRUE,30,503,-1
188280,296027,FALSE,30,212,713
306220,586830,TRUE,30,724,1217
439602,1131112,FALSE,30,251,884
158120,206990,FALSE,30,300,1450
16158,52208,TRUE,30,273,792
412226,1056331,TRUE,30,307,689
235155,337082,TRUE,28,294,1105
317156,555530,FALSE,28,484,877
33166,391487,TRUE,28,254,764
284680,510572,FALSE,26,295,-1
313906,247994,TRUE,21,443,888
960000,510000,FALSE,4,181,842
1076474,1082051,FALSE,5,769,1654
286742,225320,TRUE,5,384,-1
765550,598221,FALSE,4,1376,-1
379773,279026,TRUE,16,407,-1
2731434,2679,FALSE,6,1541,-1
266307,123092,TRUE,24,265,841
31746,122477,FALSE,26,315,945
501981,492104,FALSE,23,164,1123
165130,318204,TRUE,28,163,1004
334934,20611,FALSE,21,801,-1
39272,68827,TRUE,30,259,1157
35086,170546,TRUE,29,437,884
510000,1275000,TRUE,40,273,786
448800,9180,FALSE,45,1357,-1
255784,163638,TRUE,45,331,1289
187572,543610,TRUE,44,342,1098
210563,403126,TRUE,46,190,996
624688,954969,TRUE,46,195,603
274594,568462,FALSE,45,210,982
74438,382774,TRUE,46,394,952
600000,1000000,FALSE,34,246,-1
573225,454611,TRUE,25,188,898
84116,331514,TRUE,32,288,-1
32334,142388,TRUE,34,479,-1
147355,393633,TRUE,35,188,-1
468918,486356,TRUE,38,315,1469
54842,264392,TRUE,33,224,1108
330000,128024,TRUE,34,303,1659
30028,166747,TRUE,37,139,-1
269957,319704,TRUE,37,528,1072
290025,313548,TRUE,38,211,853
364563,224780,FALSE,41,455,1226
195597,43320,TRUE,40,652,-1
368928,298346,TRUE,38,370,898
410116,475736,FALSE,45,608,1044
581349,74287,FALSE,40,602,1421
163735,254095,TRUE,42,237,820
188075,439717,TRUE,45,251,889
199431,584821,TRUE,47,343,906
352756,158501,TRUE,46,482,1485
27703,245359,TRUE,43,279,996
38850,158729,TRUE,45,293,892
400000,675000,FALSE,43,539,933
277670,485326,TRUE,39,437,947
203952,331445,FALSE,36,231,1036
203065,483772,TRUE,38,174,976
32332,86920,TRUE,38,308,-1
38850,476197,TRUE,38,248,-1
32687,242274,TRUE,38,273,1025
149398,73783,FALSE,6,339,-1
535910,302124,FALSE,38,303,680
412226,417378,FALSE,44,287,-1
304086,356301,FALSE,1,218,1031
223901,703095,FALSE,3,266,-1
181036,280975,TRUE,11,283,741
13550,127120,TRUE,11,212,571
310097,566811,TRUE,11,359,731
363870,496717,TRUE,11,163,811
64018,313069,FALSE,11,479,1002
245413,76975,TRUE,93,266,-1
232796,510559,TRUE,93,140,590
258526,797985,TRUE,87,254,721
20290,152697,TRUE,287,461,1465
375319,614367,TRUE,118,248,665
195433,321446,FALSE,94,262,603
170216,50043,FALSE,92,407,1169
143552,221245,TRUE,304,282,841
94361,70140,TRUE,297,184,693
433180,733783,TRUE,81,237,1064
176825,156422,TRUE,171,552,-1
197110,107420,TRUE,58,231,-1
763332,648967,TRUE,184,268,1058
