LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
133972,308144,TRUE,1038,296,689
121342,200218,FALSE,1039,170,343
63123,178563,TRUE,1039,218,610
116037,234979,FALSE,1039,303,699
267722,412739,FALSE,1039,150,434
63123,178562,TRUE,1037,190,490
163604,150518,TRUE,1024,276,684
81157,140591,TRUE,1023,260,568
108653,242661,TRUE,1039,351,685
116635,158294,TRUE,1039,290,615
58865,117648,TRUE,1039,156,378
147164,422531,FALSE,1038,605,811
139204,76425,FALSE,1032,265,-1
265200,397800,FALSE,1027,188,429
182831,426624,TRUE,1021,218,577
147369,359725,TRUE,1015,224,505
164214,284169,TRUE,1008,244,535
178699,418894,FALSE,1038,311,552
189696,339490,FALSE,1019,233,546
73579,202372,FALSE,1011,234,612
204000,498780,FALSE,1039,388,827
110946,169592,TRUE,1039,162,402
209078,234969,FALSE,994,584,820
58865,182590,TRUE,961,246,684
128218,192043,FALSE,952,196,497
262145,393221,FALSE,987,366,913
217524,423634,FALSE,947,582,843
60039,198454,TRUE,962,225,713
192996,409959,FALSE,980,266,563
64386,126940,TRUE,990,213,639
175580,332423,TRUE,995,461,721
118870,165639,FALSE,1006,225,-1
139204,257536,FALSE,1014,218,546
203928,154264,FALSE,1018,666,-1
221571,447265,FALSE,1023,255,640
109466,242663,FALSE,1026,225,514
108653,425249,FALSE,1023,407,906
55182,158777,TRUE,1021,422,913
109731,139432,TRUE,1017,315,1037
141988,298186,TRUE,1004,160,400
161717,323442,FALSE,993,268,548
139204,355268,TRUE,988,114,282
68063,125002,FALSE,978,156,416
164214,328304,FALSE,960,156,470
194467,41167,FALSE,945,722,913
206113,669868,FALSE,1027,364,925
265370,398314,TRUE,1027,259,778
139204,125287,TRUE,1027,241,993
204000,530400,FALSE,1027,183,849
231877,551352,FALSE,1024,288,608
204000,510000,FALSE,1024,162,1088
226724,474060,FALSE,1039,203,658
261763,392645,FALSE,1039,574,743
244800,461040,FALSE,1039,889,1233
99196,235380,FALSE,1039,269,769
133478,230555,TRUE,1039,195,458
114996,70805,FALSE,1039,370,961
121342,259180,TRUE,1039,238,674
221571,361676,TRUE,1039,313,624
260000,490000,FALSE,1037,289,742
200792,301189,TRUE,1035,420,812
173443,448296,FALSE,1023,400,756
119745,237910,TRUE,1024,311,897
121342,230555,TRUE,1024,127,311
207791,359795,TRUE,1024,198,589
104431,190882,FALSE,1024,302,654
177317,394192,TRUE,1011,232,583
113588,285940,FALSE,1011,304,764
55182,197391,FALSE,1011,218,569
143020,173362,TRUE,1009,260,-1
122698,200420,TRUE,1002,241,513
110781,155894,TRUE,991,115,668
55182,147177,TRUE,986,313,627
58865,158214,TRUE,980,262,714
58865,168493,FALSE,975,360,745
149106,281185,TRUE,973,164,374
288558,432838,FALSE,965,149,-1
88407,203353,FALSE,962,321,881
267645,394192,TRUE,970,178,588
58865,58133,FALSE,976,415,960
127423,207432,TRUE,980,254,668
211265,463562,TRUE,991,527,752
206113,453964,TRUE,993,526,735
192996,448296,FALSE,1013,611,793
200792,323863,FALSE,1014,227,710
272144,474269,TRUE,1017,241,535
229475,365620,FALSE,1027,195,457
165935,276705,TRUE,1030,225,479
121630,328415,TRUE,1033,218,574
103403,246838,TRUE,1029,492,919
55182,167845,TRUE,1022,549,1090
217633,326452,FALSE,1024,218,469
116635,166627,FALSE,1024,79,405
120114,152151,FALSE,1024,79,392
130017,188962,TRUE,1028,345,591
139204,323661,FALSE,1031,72,429
234600,351900,FALSE,1033,210,414
120689,319487,TRUE,1035,197,391
206113,416297,FALSE,1035,737,902
112839,156479,FALSE,1031,178,883
77551,163951,TRUE,1029,485,914
79564,144112,FALSE,1019,240,535
162973,441494,TRUE,1032,169,535
360000,540000,TRUE,1033,274,726
150168,259907,FALSE,1035,211,622
206113,345239,TRUE,1039,238,604
120114,156155,TRUE,1039,302,610
117575,157553,FALSE,1039,314,742
152886,327455,FALSE,1039,336,741
247026,457261,TRUE,1039,139,547
262000,393000,FALSE,1039,210,426
121334,188548,TRUE,1039,191,511
139204,296501,TRUE,1039,302,923
127463,198475,FALSE,1039,210,428
58865,153614,FALSE,878,225,532
201906,302861,FALSE,889,225,638
269280,403920,TRUE,903,300,734
115860,275037,TRUE,916,258,661
206113,355545,FALSE,918,178,608
223101,334655,TRUE,906,493,869
120291,176440,TRUE,892,246,637
139204,250576,FALSE,883,225,531
101893,171659,FALSE,874,223,518
